"Family","Binomial","NeonateBodyMass_g","AdultBodyMass_g","AgeatEyeOpening_d","WeaningAge_d"
"Felidae","Felis margarita",63.99,2823.36,14,NA
"Felidae","Felis nigripes",72,1362.77,7,67.23
"Mustelidae","Gulo gulo",86.02,12792.49,27.94,83.64
"Phocidae","Halichoerus grypus",13995.35,197570.01,0,18.37
"Ursidae","Helarctos malayanus",324.99,57075.78,14,90.36
"Herpestidae","Herpestes javanicus",24.67,750,18.5,43.59
"Felidae","Felis silvestris",106.4,4573.08,10.95,76.01
"Eupleridae","Fossa fossana",70,1853.98,0,66.84
"Viverridae","Hemigalus derbyanus",125,1262.7,9.75,69.6
"Phocidae","Histriophoca fasciata",10245.25,90000,0,24.5
"Hyaenidae","Hyaena brunnea",693.09,42977.93,14,302.44
"Hyaenidae","Hyaena hyaena",653.23,35070.51,7.03,118.93
"Phocidae","Hydrurga leptonyx",29999.99,352675.48,0,30.41
"Mustelidae","Ictonyx striatus",13.69,811.02,35.16,59.09
"Phocidae","Monachus monachus",20000,294881.33,0,42.75
"Phocidae","Monachus schauinslandi",16250,222999.99,0,37.13
"Mustelidae","Meles meles",90.24,11884.03,35.16,91.3
"Mustelidae","Mellivora capensis",210,8999.99,33.12,23.86
"Phocidae","Mirounga angustirostris",34381.77,1112390.81,0,27.37
"Phocidae","Mirounga leonina",39392.97,1600000,0,22.93
"Herpestidae","Mungos mungo",24.2,1260,9.97,20.88
"Eupleridae","Mungotictis decemlineata",49.13,657.03,0,45.1
"Felidae","Leopardus pardalis",250,11880,9.97,106.18
"Felidae","Leopardus wiedii",157.42,3270.81,13.5,93.4
"Felidae","Leptailurus serval",254,11999.96,9.03,104.68
"Phocidae","Leptonychotes weddellii",27395.84,4e+05,0,43.35
"Phocidae","Lobodon carcinophaga",20000,224999.99,0,31.32
"Mustelidae","Lontra canadensis",135.94,8087.42,33.12,121.66
"Mustelidae","Lutra lutra",284.99,8868.69,35.87,100.8
"Canidae","Lycalopex culpaeus",167.99,8616.24,NA,48.22
"Canidae","Lycaon pictus",297.45,21999.99,11.94,27.28
"Felidae","Lynx canadensis",204,9682.82,14,111.36
"Felidae","Lynx lynx",289,19300,11.94,81.85
"Felidae","Lynx rufus",300,6374.47,8,59.99
"Mustelidae","Martes americana",31.3,873.69,36.97,45.73
"Mustelidae","Martes flavigula",57.5,2504.64,32.5,89.49
"Mustelidae","Martes foina",30,1675,NA,74.11
"Mustelidae","Martes martes",30,1299.99,29.96,54.19
"Mustelidae","Martes pennanti",28.97,3750,53,76.76
"Mustelidae","Martes zibellina",31.22,1173.91,35.16,52.23
"Mephitidae","Mephitis mephitis",33.19,2399.99,21.98,55.15
"Nandiniidae","Nandinia binotata",56,2167.2,NA,63.81
"Mustelidae","Mustela erminea",2.25,284.5,35.1,60.93
"Mustelidae","Mustela eversmanii",4.99,1684.21,30,48.8
"Mustelidae","Mustela frenata",3.09,190.03,35.87,34.23
"Mustelidae","Mustela lutreola",7.4,566.44,33,58.71
"Mustelidae","Mustela nigripes",7.39,907.1,35,59.66
"Mustelidae","Mustela nivalis",2,78.45,29.08,36.74
"Mustelidae","Mustela putorius",9.5,975.55,29.08,54.39
"Procyonidae","Nasua narica",140,4578.43,5,132.63
"Procyonidae","Nasua nasua",144.91,3775.5,8,113.15
"Felidae","Neofelis nebulosa",166.49,14945.05,9.25,111.67
"Otariidae","Neophoca cinerea",7147.62,189274.99,0,542.19
"Phocidae","Ommatophoca rossii",17000,208252.12,0,27.84
"Canidae","Nyctereutes procyonoides",87.42,4214.99,9.5,49.69
"Odobenidae","Odobenus rosmarus",59090.9,1042996.25,0,591.36
"Otariidae","Otaria flavescens",12819.99,193670.53,0,363.96
"Canidae","Otocyon megalotis",120.7,4098.12,NA,42.46
"Phocidae","Pagophilus groenlandicus",10048.2,132250,0,11.45
"Felidae","Panthera leo",1291.71,158623.93,3,197.86
"Felidae","Panthera onca",817.3,83943.09,8,156.6
"Felidae","Panthera pardus",553.39,52399.99,9.03,123.54
"Felidae","Panthera tigris",1313.5,161914.66,9.03,118.55
"Viverridae","Paradoxurus hermaphroditus",92.07,3200,NA,NA
"Felidae","Pardofelis marmorata",84.99,2826.68,NA,NA
"Mustelidae","Pteronura brasiliensis",204.25,26000,28,120.48
"Phocidae","Phoca largha",7100,98879.18,0,27.84
"Phocidae","Phoca vitulina",10213.75,87316.66,0,30.74
"Felidae","Profelis aurata",211.24,11277.17,NA,119.32
"Mustelidae","Poecilogale albinucha",4,308.16,32.14,76.56
"Procyonidae","Potos flavus",171.84,2441.81,16.95,109.13
"Felidae","Prionailurus bengalensis",83,2780.97,9.97,24.85
"Felidae","Prionailurus viverrinus",170,8826.46,16,135.96
"Viverridae","Prionodon linsang",40,684.83,NA,NA
"Procyonidae","Procyon cancrivorus",70,6931.72,21,111.36
"Procyonidae","Procyon lotor",82.46,6373.72,20.91,104.16
"Hyaenidae","Proteles cristata",275,8139.39,NA,125.73
"Felidae","Puma concolor",409.87,53954.05,8,48.46
"Phocidae","Pusa caspica",4182.6,62326.2,0,31.32
"Phocidae","Pusa hispida",4500,70963.6,0,45.23
"Phocidae","Pusa sibirica",3050,89499.99,0,66.11
"Canidae","Speothos venaticus",157.5,6324.54,14,127.3
"Ursidae","Ailuropoda melanoleuca",104.39,117999.99,NA,178.98
"Ailuridae","Ailurus fulgens",104.04,5170.08,18,136.87
"Mephitidae","Spilogale putorius",12.29,566.49,30.07,55.68
"Mephitidae","Spilogale pygmaea",6.9,365,28,NA
"Ursidae","Tremarctos ornatus",320,123176.97,NA,173.44
"Herpestidae","Suricata suricatta",30.5,729.99,11.97,55.68
"Felidae","Acinonyx jubatus",441.66,50577.92,9.03,91.42
"Mustelidae","Aonyx cinerea",56.01,3527.59,40,79.54
"Viverridae","Arctictis binturong",317.35,12999.99,3,117.57
"Otariidae","Arctocephalus australis",4449.71,67979.43,0,365
"Otariidae","Arctocephalus forsteri",3700,101249.99,0,323.72
"Otariidae","Arctocephalus galapagoensis",3499.99,39448.04,0,821.25
"Otariidae","Arctocephalus gazella",5794.63,96599.99,0,116.28
"Otariidae","Arctocephalus pusillus",5750,178500,0,356.3
"Otariidae","Arctocephalus tropicalis",4347.41,92222.55,0,304.16
"Mustelidae","Arctonyx collaris",58,8166.52,NA,165.64
"Mustelidae","Taxidea taxus",93.49,7842.15,35,41.99
"Felidae","Uncia uncia",442.6,32500,7.03,101.42
"Canidae","Urocyon cinereoargenteus",103.68,3833.71,9.75,63.79
"Canidae","Urocyon littoralis",100,1923,10.5,NA
"Ursidae","Ursus americanus",293.99,110500,38.86,167.99
"Ursidae","Ursus arctos",499.99,196287.5,31.82,182.5
"Ursidae","Ursus maritimus",670.48,371703.81,34.12,205.17
"Ursidae","Ursus thibetanus",357.5,99714.19,7.03,82.01
"Canidae","Vulpes bengalensis",58.49,2514.4,NA,NA
"Canidae","Vulpes cana",29,988.5,NA,44.74
"Canidae","Vulpes corsac",63.12,2615.33,NA,54.56
"Canidae","Vulpes ferrilata",89.99,5543.74,NA,55.68
"Canidae","Vulpes lagopus",69.17,3584.37,15.03,49.5
"Canidae","Vulpes velox",39.94,2088,12.5,47.08
"Canidae","Vulpes vulpes",100.49,4820.36,14.01,50.71
"Canidae","Vulpes zerda",28.04,1317.13,16.95,65.56
"Otariidae","Zalophus californianus",6347.89,137194.86,0,319.01
